Sample.ID,key
adapter_trim.F0-B1,Pa
adapter_trim.F0-B10,Mo
adapter_trim.F0-B11,Pa
adapter_trim.F0-B12,NA
adapter_trim.F0-B13,Mo
adapter_trim.F0-B14,Mo
adapter_trim.F0-B15,Fa
adapter_trim.F0-B16,Mo
adapter_trim.F0-B17,Fa
adapter_trim.F0-B18,Fa
adapter_trim.F0-B19,NA
adapter_trim.F0-B2,Pa
adapter_trim.F0-B20,Mo
adapter_trim.F0-B21,Fa
adapter_trim.F0-B22,Fa
adapter_trim.F0-B23,NA
adapter_trim.F0-B24,Fa
adapter_trim.F0-B25,Fa
adapter_trim.F0-B26,Mo
adapter_trim.F0-B27,Mo
adapter_trim.F0-B3,Pa
adapter_trim.F0-B4,Pa
adapter_trim.F0-B5,Fa
adapter_trim.F0-B6,Fa
adapter_trim.F0-B7,Pa
adapter_trim.F0-B9,Fa
